Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
208,Denmark,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","71,000.02","81,630.67","75,643.54","77,804.11","81,684.72","78,731.96","91,922.97","82,464.94","78,486.88","76,046.63","71,773.41","73,508.24","72,974.28","78,060.17","71,947.75","67,541.34","75,268.34","70,696.82","67,108.81","64,354.79","64,654.77","59,421.50","54,837.72","56,561.60","52,361.36","49,742.09","51,798.27","49,678.02","49,694.48",2018,49694.48,-30.01,8.64
262,Djibouti,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,510.76,...,...,...,...,...,"1,071.81",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1071.81,...,1.49
212,Dominica,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,152.19,...,...,...,...,...,173.90,184.38,177.34,176.80,167.21,181.89,172.36,179.21,174.07,184.52,192.54,206.30,211.40,213.31,219.71,222.64,222.29,211.53,...,2017,211.53,...,2.96
214,Dominican Republic,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","12,640.92",...,...,...,"20,441.80",...,...,...,"23,749.48",...,"26,433.24",...,...,...,...,...,...,...,...,...,"25,230.77",...,...,...,...,...,...,...,...,2010,25230.77,99.60,2.60
218,Ecuador,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","178,646.80",...,...,...,"33,494.53",...,...,...,...,...,"37,033.73",...,...,...,...,...,"48,201.19",...,...,...,"56,333.13",...,"60,191.63",...,...,...,...,...,...,2012,60191.63,-66.31,3.89
818,Egypt,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","116,739.56",...,...,...,...,...,...,...,...,...,"193,237.58",...,...,...,...,"241,631.56",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,241631.56,106.98,3.20
222,El Salvador,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"11,716.71",...,...,...,...,...,...,...,...,...,...,"11,069.00",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,11069.00,...,1.83
232,Eritrea,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"4,167.71",833.29,928.01,855.10,708.82,758.47,"3,934.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3934.00,...,1.72
233,Estonia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","40,277.31","37,156.12","27,157.90","21,206.14","21,900.77","20,109.10","20,797.26","20,423.99","18,916.39","17,585.33","17,246.55","17,619.03","17,067.92","18,971.86","19,305.70","19,012.24","18,295.81","22,023.10","19,872.67","16,519.60","21,019.06","21,058.29","19,966.95","21,848.04","21,056.79","18,109.74","19,640.42","20,923.49","19,974.14",2018,19974.14,-50.41,15.10
748,Eswatini,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"7,538.68",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,7538.68,...,8.31
231,Ethiopia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","43,018.00","44,607.00","43,683.00","44,095.00","45,525.57","45,164.66","47,441.01","68,313.47","69,184.28","69,450.89","67,907.18","71,058.02","78,599.97","78,329.96","81,163.65","62,776.98","72,297.33","74,642.46","83,531.34","86,741.50","92,482.99","90,195.10","94,222.52","94,995.96",...,...,...,...,...,2013,94995.96,120.83,1.00
242,Fiji,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"1,391.33",...,...,...,...,...,...,...,...,...,"2,710.07",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,2710.07,...,3.31
246,Finland,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","71,065.26","68,854.17","67,416.61","69,684.06","75,215.37","71,656.56","77,633.33","76,321.12","72,626.36","72,016.77","70,145.35","75,475.58","77,909.24","85,532.07","81,839.01","69,837.08","81,207.90","79,544.79","71,452.38","67,834.70","75,649.74","67,899.41","62,419.24","62,856.36","58,700.07","55,086.25","58,039.64","55,336.72","56,359.07",2018,56359.07,-20.69,10.21
250,France,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","551,404.78","578,699.48","566,925.42","544,411.47","538,971.27","546,666.86","564,234.85","557,026.92","570,706.96","562,824.23","556,689.81","561,632.97","555,016.01","559,892.55","558,006.76","559,561.38","547,350.92","536,920.91","529,131.49","510,222.31","516,993.59","488,626.08","489,044.21","490,340.67","460,180.56","464,049.06","465,667.52","470,593.20","452,209.68",2018,452209.68,-17.99,6.96
266,Gabon,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"6,524.33",...,...,...,...,...,"6,159.55",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6159.55,...,5.01
270,Gambia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,"4,257.81",...,...,...,...,...,...,"19,383.19",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,19383.19,...,14.71
268,Georgia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","38,688.05","36,347.18","23,622.48","14,600.33","10,689.90","8,539.54","11,746.65","9,167.12",...,...,"10,620.63","10,018.09","9,844.42","10,428.84","11,139.53","11,408.13","13,768.41","14,424.61","13,770.38","13,052.95","12,877.32","15,947.92","17,159.07","16,610.14",...,...,...,...,...,2013,16610.14,-57.07,4.10
276,Germany,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","1,249,458.56","1,202,408.48","1,152,233.12","1,143,321.08","1,124,269.24","1,121,370.24","1,139,309.80","1,104,200.14","1,078,910.26","1,045,140.62","1,043,426.39","1,058,627.88","1,037,293.21","1,034,945.73","1,018,676.23","993,198.75","1,000,519.90","973,838.74","976,672.15","909,260.14","942,338.00","919,434.65","924,147.41","941,570.26","902,388.74","906,320.05","909,052.47","894,296.28","858,368.68",2018,858368.68,-31.30,10.33
