PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GUAYAS,DURAN,0907,243235,250033,256954,263970,271085,278296,285609,293005,300488,308059,315724,323462,331283,339184,347170,355220,363337,371513,379758,388045,396377
GUAYAS,EL EMPALME,0908,77297,78250,79190,80115,81024,81915,82787,83639,84472,85284,86073,86843,87590,88316,89018,89698,90353,90981,91583,92159,92707
GUAYAS,EL TRIUNFO,0909,46207,47471,48757,50060,51380,52717,54071,55439,56823,58221,59636,61063,62503,63957,65426,66905,68394,69894,71404,72921,74444
GUAYAS,MILAGRO,0910,172730,175528,178319,181093,183848,186581,189289,191970,194622,197245,199835,202392,204916,207404,209855,212266,214634,216954,219227,221450,223619
GUAYAS,NARANJAL,0911,71111,73313,75564,77856,80189,82564,84983,87439,89936,92472,95052,97668,100323,103017,105754,108523,111329,114168,117046,119951,122887
GUAYAS,NARANJITO,0912,38574,39131,39685,40232,40774,41309,41836,42355,42866,43369,43862,44347,44822,45288,45744,46190,46624,47047,47458,47856,48241
GUAYAS,PALESTINA,0913,16684,16878,17069,17257,17440,17620,17795,17966,18132,18294,18451,18603,18750,18893,19030,19162,19288,19409,19524,19634,19737
GUAYAS,PEDRO CARBO,0914,45036,45739,46439,47134,47824,48507,49182,49850,50510,51161,51802,52435,53058,53671,54274,54866,55446,56013,56567,57108,57633
GUAYAS,SAMBORONDON,0916,69360,72222,75185,78238,81388,84634,87986,91434,94983,98638,102404,106273,110252,114343,118556,122876,127311,131862,136538,141325,146229
GUAYAS,SANTA LUCIA,0918,40411,40909,41401,41886,42361,42828,43284,43730,44166,44591,45004,45407,45799,46179,46546,46902,47245,47575,47890,48192,48479
GUAYAS,URBINA JADO,0919,59619,60297,60964,61619,62259,62884,63493,64087,64663,65223,65765,66290,66798,67288,67759,68212,68645,69058,69449,69820,70168
GUAYAS,YAGUACHI,0920,63005,64477,65965,67464,68974,70493,72021,73557,75099,76648,78204,79763,81327,82896,84468,86041,87615,89187,90758,92325,93887
GUAYAS,PLAYAS,0921,43151,44635,46159,47717,49311,50940,52607,54308,56044,57817,59628,61473,63354,65272,67229,69219,71245,73305,75403,77532,79693
GUAYAS,SIMON BOLIVAR,0922,26355,26930,27510,28093,28679,29266,29856,30446,31038,31630,32224,32817,33410,34003,34596,35187,35777,36364,36949,37530,38108
GUAYAS,CORONEL MARCELINO MARIDUEÑA,0923,12524,12603,12677,12749,12816,12879,12938,12993,13044,13090,13132,13170,13204,13234,13259,13280,13297,13309,13317,13320,13319
GUAYAS,LOMAS DE SARGENTILLO,0924,19011,19506,20008,20516,21030,21549,22074,22603,23137,23676,24220,24767,25318,25874,26434,26996,27561,28129,28699,29271,29844
GUAYAS,NOBOL,0925,20214,20795,21388,21989,22599,23218,23847,24484,25128,25781,26444,27113,27790,28475,29168,29868,30574,31286,32006,32730,33458
GUAYAS,GENERAL ANTONIO ELIZALDE,0927,11017,11231,11446,11661,11876,12090,12305,12519,12732,12944,13156,13366,13576,13784,13991,14197,14401,14603,14803,15000,15195
GUAYAS,ISIDRO AYORA,0928,11213,11529,11850,12176,12506,12841,13181,13525,13873,14225,14582,14942,15306,15674,16046,16421,16799,17180,17565,17951,18340
IMBABURA,IBARRA,1001,188013,191285,194588,197907,201237,204568,207907,211235,214552,217856,221149,224421,227669,230898,234101,237270,240406,243503,246559,249574,252542
IMBABURA,ANTONIO ANTE,1002,45117,46009,46912,47822,48739,49661,50588,51517,52447,53378,54311,55242,56171,57099,58026,58947,59865,60776,61682,62580,63471
IMBABURA,COTACACHI,1003,41727,42012,42291,42565,42831,43087,43333,43568,43792,44004,44203,44390,44564,44726,44873,45007,45127,45233,45323,45400,45462
IMBABURA,OTAVALO,1004,108915,110608,112312,114018,115725,117425,119123,120808,122481,124140,125785,127414,129021,130612,132181,133726,135245,136737,138199,139634,141036
IMBABURA,PIMAMPIRO,1005,13562,13547,13529,13509,13485,13458,13428,13394,13357,13315,13269,13220,13167,13110,13049,12984,12916,12844,12767,12687,12604
IMBABURA,SAN MIGUEL DE URCUQUI,1006,16323,16458,16591,16722,16851,16976,17097,17215,17328,17436,17540,17639,17734,17823,17908,17987,18061,18129,18191,18248,18298
LOJA,LOJA,1101,222830,227913,233039,238171,243321,248473,253625,258767,263900,269017,274112,279184,284222,289230,294206,299137,304018,308857,313655,318387,323071
LOJA,CALVAS,1102,29479,29543,29595,29636,29665,29682,29684,29674,29651,29616,29565,29504,29430,29344,29244,29134,29011,28878,28733,28577,28412
LOJA,CATAMAYO,1103,31890,32335,32775,33207,33632,34046,34451,34845,35229,35601,35961,36309,36645,36968,37277,37574,37857,38127,38383,38625,38854
LOJA,CELICA,1104,15091,15223,15351,15473,15590,15701,15805,15904,15996,16082,16160,16233,16298,16357,16409,16454,16493,16524,16550,16568,16580
LOJA,CHAGUARPAMBA,1105,7531,7448,7363,7277,7189,7099,7006,6912,6816,6719,6620,6519,6418,6315,6211,6107,6001,5895,5789,5682,5575
LOJA,ESPINDOLA,1106,15537,15428,15313,15194,15069,14939,14803,14662,14516,14366,14209,14050,13886,13718,13546,13371,13192,13011,12827,12640,12452
LOJA,GONZANAMA,1107,13413,13169,12923,12678,12433,12187,11939,11692,11446,11200,10953,10708,10464,10221,9979,9739,9501,9265,9030,8799,8570
LOJA,MACARA,1108,19877,19953,20022,20083,20136,20181,20215,20242,20260,20270,20269,20261,20243,20217,20182,20139,20088,20028,19961,19886,19803
LOJA,PALTAS,1109,24960,24853,24737,24613,24479,24335,24180,24017,23845,23663,23471,23272,23065,22850,22626,22396,22158,21915,21664,21409,21148
LOJA,PUYANGO,1110,16240,16239,16231,16217,16196,16169,16133,16092,16043,15988,15925,15856,15781,15699,15610,15516,15416,15311,15199,15083,14962
LOJA,SARAGURO,1111,31492,31747,31992,32226,32448,32658,32855,33038,33209,33365,33506,33635,33749,33849,33934,34007,34064,34108,34138,34154,34158
LOJA,SOZORANGA,1112,7840,7779,7716,7650,7583,7512,7438,7362,7284,7204,7121,7036,6949,6860,6769,6677,6584,6489,6392,6295,6197
LOJA,ZAPOTILLO,1113,12820,12987,13152,13313,13471,13624,13774,13918,14059,14194,14325,14450,14570,14685,14795,14899,14997,15090,15178,15259,15336
LOJA,PINDAL,1114,8983,9145,9307,9466,9626,9783,9939,10093,10244,10394,10540,10685,10826,10965,11101,11234,11363,11490,11613,11733,11849
LOJA,QUILANGA,1115,4552,4524,4494,4462,4429,4394,4358,4320,4281,4239,4197,4153,4108,4062,4014,3965,3916,3865,3813,3761,3708
LOJA,OLMEDO,1116,5136,5045,4954,4863,4772,4681,4589,4497,4405,4313,4220,4129,4037,3946,3855,3764,3675,3586,3497,3410,3323
LOS RIOS,BABAHOYO,1201,159443,161230,162981,164690,166350,167963,169523,171038,172502,173917,175281,176596,177866,179087,180257,181380,182449,183465,184425,185329,186177
LOS RIOS,BABA,1202,41216,41501,41774,42034,42278,42508,42721,42920,43105,43275,43429,43570,43698,43812,43912,43998,44071,44129,44172,44201,44215
LOS RIOS,MONTALVO,1203,25009,25400,25789,26173,26552,26927,27296,27661,28019,28372,28720,29062,29399,29731,30056,30375,30688,30994,31292,31583,31866
LOS RIOS,PUEBLOVIEJO,1204,37703,38416,39131,39842,40551,41257,41959,42657,43351,44040,44725,45404,46080,46750,47416,48075,48728,49373,50011,50640,51260
LOS RIOS,QUEVEDO,1205,179370,182855,186349,189834,193308,196769,200217,203650,207064,210461,213842,217198,220539,223860,227162,230435,233680,236893,240074,243214,246313
LOS RIOS,URDANETA,1206,30371,30639,30900,31152,31393,31623,31842,32052,32251,32440,32618,32787,32946,33095,33233,33363,33481,33589,33686,33773,33848
