Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
586,Pakistan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"175,199.00",...,...,...,...,...,...,...,...,...,...,...,...,...,"320,234.00",...,...,...,"364,449.00",...,...,"394,583.00",...,...,...,2015,394583.00,...,1.98
585,Palau,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,104.86,19.82,32.37,85.17,171.18,47.04,164.51,...,...,...,...,346.48,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,346.48,...,17.51
591,Panama,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"10,692.08",...,...,...,...,...,"9,707.74",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9707.74,...,3.20
598,Papua New Guinea,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"5,012.24",...,...,...,...,...,"10,195.68",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,10195.68,...,1.74
600,Paraguay,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","56,196.95",...,...,...,"26,355.62",...,...,...,...,...,"23,429.88",...,...,...,...,"32,296.22",...,...,...,...,...,"44,088.45","45,230.73",...,...,...,...,...,...,2012,45230.73,-19.51,7.04
604,Peru,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"57,582.87",...,...,...,...,...,"63,197.00",...,...,...,...,...,...,...,...,...,"80,591.02",...,"84,564.00",...,...,...,...,...,...,2012,84564.00,...,2.87
608,Philippines,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"100,866.61",...,...,...,...,...,"126,878.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,126878.71,...,1.63
616,Poland,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","475,080.32","463,126.70","450,485.86","450,327.26","444,648.99","446,722.54","460,555.49","450,448.67","420,050.15","408,500.81","395,949.88","394,895.90","385,174.51","398,551.08","404,101.55","404,459.53","419,741.76","419,497.50","413,124.39","394,084.80","412,926.32","412,006.11","404,526.56","401,147.19","388,469.51","391,674.13","400,268.49","414,679.37","412,856.37",2018,412856.37,-13.10,10.89
620,Portugal,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","58,558.61","60,519.11","64,463.09","62,938.84","63,906.04","68,546.69","66,206.27","69,401.65","74,238.09","82,290.12","81,528.17","81,121.33","85,574.06","80,229.86","83,350.56","85,503.56","80,733.33","78,449.13","76,066.24","72,999.62","68,749.86","67,356.05","65,466.54","63,611.12","63,520.26","67,698.41","65,865.83","70,447.04","67,280.28",2018,67280.28,14.89,6.56
634,Qatar,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"61,592.97",...,...,...,...,...,...,...,...,...,...,...,2007,61592.97,...,50.55
410,Republic of Korea,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","292,959.18","316,165.43","343,246.07","378,850.65","403,823.65","437,240.23","470,924.43","500,803.78","430,185.41","468,314.21","501,335.34","514,458.22","536,099.11","546,424.65","555,143.69","559,059.09","564,427.04","579,427.36","592,707.18","597,583.32","657,515.90","682,985.64","687,091.84","696,853.31","690,884.85","692,861.37","693,942.65",...,...,2016,693942.65,136.87,13.61
498,Republic of Moldova,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","43,418.87","38,747.40","28,754.48","23,218.02","20,991.45","17,423.99","17,263.96","16,025.55","14,044.25","11,771.85","10,730.67","11,420.96","11,141.81","11,617.26","12,304.47","12,752.98","11,943.30","11,658.57","13,058.72","13,136.80","13,939.38","14,141.72","13,364.24","12,836.34",...,...,...,...,...,2013,12836.34,-70.44,3.15
